Education_Level,Gender,Field_of_Study,Domestic_or_International,Work_Status,Education_Mode,Online_Courses_Last_Year,Online_Influence_Factors,Offline_Influence_Factors,Online_Effectiveness,Online_Challenges,Online_Student_Engagement,Online_Material_Satisfaction,Online_Collaboration,Offline_Benefits,Offline_Resources_Satisfaction,Offline_Classroom_Engagement,Offline_Motivation,Better_Grades_Mode,Job_Preparation_Mode
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,"Convenience of location, Interaction with peers/instructors","Cost, Convenience of location",5,"Difficulty staying motivated, Lack of access to course materials",Sometimes,Satisfied,No,More engaging learning environment,Satisfied,Good,Neutral,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,No,Quality of education,Convenience of location,5,Lack of access to course materials,Rarely,Satisfied,No,"More engaging learning environment, More structured schedule",Satisfied,Good,Neutral,Offline,Offline
Undergraduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,"Convenience of location, Interaction with peers/instructors","Quality of education, Face-to-face interaction with instructors and peers",5,"Technical difficulties, Lack of access to course materials",Sometimes,Satisfied,No,"More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Neutral,Offline,Offline
Undergraduate,Female,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),No,"Convenience of location, Interaction with peers/instructors, Availability of courses","Cost, Quality of education, Face-to-face interaction with instructors and peers",3,"Difficulty staying motivated, Lack of access to course materials, Doubts remain unclear",Sometimes,Satisfied,Yes,"Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Neutral,Average,Neutral,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,Technical difficulties,Very often,Very satisfied,Yes,Better interaction with instructors,Neutral,Average,Strongly disagree,Online,Online
Undergraduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location",Availability of courses,3,"Lack of interaction with peers, Difficulty staying motivated",Sometimes,Unsatisfied,No,Better interaction with instructors,Very satisfied,Excellent,Agree,Offline,Offline
Undergraduate,Male,Business,Domestic student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Rarely,Unsatisfied,No,"Better interaction with instructors, Easier to focus, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Information & Technology,Domestic student,Part-time,Offline (In-person),No,Avoiding travel/commute time,"Quality of education, Face-to-face interaction with instructors and peers",1,"Lack of interaction with peers, Difficulty staying motivated, Lack of access to course materials, Doubts remain unclear, Poor overall quality of education",Never,Very unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Good,Strongly agree,Offline,Offline
High School,Male,Information & Technology,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Sometimes,Satisfied,Yes,Better interaction with instructors,Satisfied,Good,Agree,Online,Online
Undergraduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,I really don't like online classes ,"Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated, Doubts remain unclear",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Undergraduate,Female,Information & Technology,Domestic student,Full-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,I didn't face any challenges in online education,Sometimes,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Good,Strongly disagree,Online,Online
Graduate,Female,Economics,Foreign (International) student,Full-time,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Technical difficulties",Very often,Very satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
